	Sentence	Level
1738	Because of her wide and excellent experience with small children I believe that Nascha would easily fit into a family with small children. 	C
1739	I believe that the construction of such a centre would undoubtedly contribute to the improvement of our quality of life. 	C
1740	Organising family-oriented activities would significantly increase membership and raise the society's popularity with the local community. 	C
1741	It is probably in the sitting room on the table. 	A
1742	You should probably wear a T-shirt and shorts, with sneakers. 	A
1743	 It's definitely going to get messy. 	A
1744	I think I left my phone there, maybe in your kitchen. 	A
1745	Maybe we could visit that park you told me about or play at your house. 	A
1746	I want to buy new trousers and, perhaps, a T-shirt. 	A
1747	There you can dance, eat, drink and meet new friends 	A
1748	Perhaps it's in the kitchen under the table. 	A
1749	If I were you I'd certainly choose not to go with your parents. 	B
1750	I will certainly ring you on Friday. 	B
1751	Well, with the job you’ve got, you obviously can't keep fit. 	B
1752	For these reasons, I definitely recommend staying in a city. 	B
1753	Next year you can surely go somewhere with your friends. 	B
1754	You should probably bring sun block, because it's going be hot, and some food of course. 	B
1755	In my opinion if you decided to go to a large school in the centre of town, you would certainly meet a lot of cool people and you'd probably find it great. 	B
1756	Could I possibly see you at 3.30? 	B
1757	Could you possibly recommend what action should be taken? 	B
1758	As a conclusion, I want to say that while what we wear doesn't necessarily define who we are, it does play a big part in it. 	C
1759	This is not necessarily the way the older generation would see it though. 	C
1760	Presents. Strips, bows, paper-wrapping. Thinking of Christmas? Not necessarily. 	C
1761	Do I agree with this statement? Definitely. 	C
1762	There is also a park near my house. 	A
1763	My husband is a teacher. 	A
1764	That's why I like this place. 	A
1765	I go to college every day. 	A
1766	Martin is my best friend. 	A
1767	We have a big garden and a small swimming pool. 	A
1768	Her favourite colours are blue and black. 	A
1769	I have new neighbours. 	A
1770	They're nice people. 	A
1771	This place has nice shops. 	A
1772	I like reading interesting books in the Library. 	A
1773	Every Friday I go swimming and play computer games. 	A
1774	I am having a dinner party on Friday 25 December at 7 pm. 	A
1775	Can you come to my house on Friday evening? 	A
1776	My girlfriend likes vegetable pasta with tomato sauce, because she is vegetarian. 	A
1777	The food was delicious and the music was great. 	A
1778	The weather was so cold. 	A
1779	I phoned for more information two days ago. 	A
1780	 It is very important because I need to do some homework in it. 	A
1781	There are so many shops, you can play games, eat food like Chinese food. 	A
1782	I had so much fun! 	A
1783	I spent too much money, five hundred euros, but I don’t mind because they are beautiful! 	A
1784	I visited a lot of museums and I went shopping. 	A
1785	All of our classmates were there and some of my cousins too. 	A
1786	I bought a beautiful pink skirt and a white top. 	A
1787	Lysiane is taller than me and she has short black hair. 	A
1788	It is a beautiful old city and there is the old wall around the city. 	A
1789	I left my small white bag. 	A
1790	Don't forget to wear old, comfortable clothes. 	A
1791	She's in a volleyball team like me, but we're not in the same one. She was for the other team, which lost. 	A
1792	You can always visit our Shopping Centre, which is one of the biggest in Brazil. 	A
1793	The mobile phone which I bought yesterday is brilliant. 	A
1794	The person who gave me it was my father. 	A
1795	The last day when we can see the movie is Thursday. 	A
1796	I want to invite you to a pop concert that is going to take place in the National Stadium. 	A
1797	The music that I like is Rock &amp; Roll. 	A
1798	It's my sister's jacket. 	A
1799	I bought a red tie because next Sunday it will be my father's birthday. 	A
1800	Yesterday about 8 pm, when I was coming back home from a shop, I saw two men near my neighbour's car. 	B
1801	The Northeast is so beautiful and it's famous because of its white sandy beaches and the coconut trees. 	B
1802	Last weekend I went to São Paulo to buy some winter clothes. I bought a white hooded jacket, a blue jumper, black gloves and a beautiful blue scarf. 	B
1803	Inside there were three samples of a nasty purple liquid. 	B
1804	I know your company are offering an exciting new service in our area. 	B
1805	He had beautiful green eyes, short, curly, red hair and he was wearing an elegant black suit with a red tie. 	B
1806	You can walk along the streets and eat typical Spanish food in good restaurants. 	B
1807	It took us a very long time but it was a great fun! 	B
1808	They made really good friends. 	B
1809	It was so terrible because I've never been in such a terrible situation. 	B
1810	So it was really funny to hear from her after such a long time. 	B
1811	Thank you for giving me such a fantastic birthday present. 	B
1812	Also, we both liked to read and that was why we were such good friends. 	B
1813	I had never worn such high heels before. 	B
1814	It was a beautiful red dress with blue flowers on the back. 	B
1815	Yesterday a TV company came to our school to make a film about Bavarian pupils. 	B
1816	I don't spend too much time in front of the television, I just watch it twice a week and on Sundays morning. 	B
1817	I received your letter and you asked me about the future of my town. 	B
1818	I have to travel to Montevideo to see my doctor because I'm having some problems with my health. 	B
1819	It has the best promenade I have seen. 	B
1820	"The best book I've read is ""The Da Vinci code"". "	B
1821	It was the best decision you had ever made. 	B
1822	We enjoy going shopping, walking and talking hour after hour - She's the funniest person I've ever known! 	B
1823	Last week I left my clothes at the dry cleaner's and I can't collect them. 	B
1824	I have to go to the dentist’s. 	B
1825	I'll be picking you up at eight o'clock near the McDonald's, OK? 	B
1826	I'm going to be absent from the English class next week, because I am going to the doctor's. 	B
1827	It's next to your grandma's. 	B
1828	 we always did everything together and couldn't stop laughing as she told me many funny stories and I told her lots of silly mistakes of mine. 	B
1829	A colleague of mine has told me about a Swiss hotel in London. 	B
1830	I was looking for something special to do for my last week off and some schoolmates of mine invited me to join the cycling holiday. 	B
1831	I'm a fan of his, he is my favorite singer. 	B
1832	I want this dream of mine to come true. 	B
1833	He is a friend of my husband. 	B
1834	I just thought they were friends of my neighbour who were going to visit him. 	B
1835	I ran to the street and I saw the window of my neighbour's car was broken. 	B
1836	The subject of my boss's talk will be IT skills. 	B
1837	My friend Ronald had been chosen to play the role of James Bond's son! 	B
1838	My best friend is called Sindi and we met at my brother's birthday. She is the sister of my brother's girlfriend so he invited her as well. 	B
1839	The delivery date should be the day of my friend's birthday. 	B
1840	Mr Miller, the Sales Director, will visit us next Thursday. 	B
1841	Yesterday my boyfriend and I decided to go on a cycling holiday to visit some places in the country near Eboli, the town where we live. 	B
1842	She has come with me and two more friends, Peter and Gorha. 	B
1843	I spoke with her and she looks really happy, although a little sad because her best friend, Alison, did not pass the exam. 	B
1844	A new employee, Mary Watts, has just joined our company. 	B
1845	We see each other every day and do something different every day. 	B
1846	You could bring something to drink. 	B
1847	But then there is nothing special to eat. 	B
1848	The thing I enjoyed most about it was a new computer game. 	B
1849	The thing I prefer there is the swimming-pool, because I have met someone there. 	B
1850	Actually, I know a great one and they can make a little discount for us because the owner is a friend of my father's. 	B
1851	He had promised that he would go to his grandparents' house this afternoon. 	B
1852	Our company is a digital company with 15 years' experience. 	B
1853	It is essential to introduce special offers to get customers' attention. 	B
1854	Besides, we could leave one day in the morning and go by boat to a small and exotic island full of different and exotic species of birds that we could observe and photograph. 	B
1855	Emily Brönte succeeded in writing a romantic, psychological and tragic story, beautifully set in these mysterious moors. 	B
1856	I am very lucky, because I was born in a small but beautiful city called Neuva Helvecia. 	B
1857	As a result, in order to find out which is the most important, you need to ask yourself a simple but tricky question that no man would like to be asked. 	B
1858	The smoke in the air had a strong but good smell. 	B
1859	I will be on business in London to sign a contract with a new but significant customer at that time. 	B
1860	Our after-sales team now is perceived as faster, more qualified, friendlier and more efficient than our competitors’. 	C
1861	You cannot have peace and quiet in your own home, as your hour of peacefulness might considerably differ from your neighbours’. 	C
1862	I think it would be better to include a student's view of the college, not only a teacher's. 	C
1863	As indicated by the charts, the output in state-owned industry increased by 12% in 2000. 	C
1864	With reference to foreign-invested industry, it recorded fluctuations in industrial output increases throughout three years. 	C
1865	It stood at 14% in 2002, then dropped by 2% in 2001. 2002 brought a significant growth in the output and recorded 19%. 	C
1866	We could say that things have been altered by the advances of science and culture in general, like the rest of the world. 	C
1867	What everyone loved were the special effects and we were very impressed by the use of advanced technological innovations. 	C
1868	What companies care about is money and football players help them to earn it. 	C
1869	What tourists want is to see the most typical things in England, not a hamburger restaurant. 	C
1870	What students learn are mostly facts and theories. 	C
1871	Harvey Keitel has always chosen the scripts that interested him as a person and as an actor, whilst refusing to invest his talent in big-time Hollywood block-busters with little or no artistic value. 	C
1872	They have little or no spare time to relax and recharge their batteries; they are constantly under pressure in order to live up to the expectations of the team and the supporters. 	C
1873	The careers of these people started at a very young age with little or no money. 	C
1874	My house is in Ilford. 	A
1875	In my free time I go shopping and I like swimming. 	A
1876	My friend is called Jessica. 	A
1877	I want to see you on Saturday and Sunday. 	A
1878	In Leicester I live in an area called Hamilton. 	A
1879	This place is Gloscat College in Gloucester. 	A
1880	My friend is called Monika , she comes from Poland. 	A
1881	She likes to go to the swimming pool and to the gym. 	A
1882	There are seven rooms: three bedrooms, a living room, a kitchen and there are two bathrooms. 	A
1883	My house is next to the bus stop. 	A
1884	My home is in Belfast, near the city centre. 	A
1885	There's a supermarket and  a post office . 	A
1886	He likes sports like ice-hockey and table tennis. 	A
1887	I buy wines and ice-cream. 	A
1888	There we did a lot of things like swimming from the beach and going shopping. 	A
1889	I prefer dancing, but on Saturday I'd like to go to a jazz concert. 	A
1890	I practised windsurfing and scuba diving. 	A
1891	When you're swimming you exercise all of your body. 	B
1892	You just have to send me your design and I'll do the rest. 	B
1893	My heart was hurt and nobody will repair the damage. 	B
1894	Working until midnight every evening is not reasonable. Working late is not the solution and it is even dangerous. 	B
1895	Also, think about stress. Driving in a city is stressful. 	B
1896	First of all, Wicklow Mountains Centre is the perfect place for climbing. Climbing is our favourite hobby and, I think, we will have a good time. 	B
1897	Many people say that they just don't have time for thinking about their health. Living in today's world demands spending a lot of time working. 	B
1898	Learning English has its rewards too. 	C
1899	Advertising seems to be very important to promote a new product. 	C
1900	Teaching is terribly challenging and demanding. 	C
1901	We play computer games. 	A
1902	You have to walk just 5 minutes down the road. 	A
1903	My favourite season is  summer, because it's very hot and there are a lot of flowers and nice trees. 	A
1904	The art classes after school are on Tuesdays. 	A
1905	Then I bought five different dresses. 	A
1906	You have to bring your pencil, oil paint, some paint brushes, and the teacher will give you a palette. 	A
1907	Usually it is meat and potatoes or special dishes. 	A
1908	Bring some sandwiches and drinks. 	A
1909	A box of Dairy milk and 2 boxes of pens. 	A
1910	We have to bring paintbrushes of different sizes ? 	A
1911	I have a lot of hobbies. 	A
1912	There were lots of activities to do. 	A
1913	I bought some jeans and costumes because I have a lot of parties this month. 	A
1914	It was a sale and I bought some clothes for my children. 	A
1915	I ate fish and seafood, it was delicious. 	A
1916	She has black eyes, a beautiful round face and nice teeth. 	A
1917	The floor in the kitchen has many holes and I think there are mice. 	A
1918	I bought them because I feel comfortable when I am wearing these clothes. 	A
1919	The clothes are very cheap in this shop. 	A
1920	The jeans were expensive, but the other things were very cheap. 	A
1921	Please wear some shorts and a shirt. 	A
1922	I left my glasses in your house last night. I need them, because I can't see anything. 	A
1923	The staff is friendly and polite with guests and there are many sports activities. 	B
1924	After the spring break the whole staff have to start work at 7.15 am. 	B
1925	A TV company has decided to make a film in my high school because it's a normal secondary school. 	B
1926	The crew were very interested in what the new school looked like and they were amazed at the colours we used to paint it. 	B
1927	Our company is interested in your company's services. 	B
1928	I listen to music, I watch TV and I talk to my friends. 	A
1929	The weather there was cold. 	A
1930	Come to my house at 4.30 pm so we have time to get ready. 	A
1931	I ate a lot of meat. 	A
1932	Do you have any furniture in this room? 	A
1933	Bring some money with you. 	A
1934	The music is going to be loud, since it's rap. 	A
1935	The weather was absolutely fine. 	A
1936	If you can't find the information about the new art class after school, please call me. 	A
1937	It's really important for me, because I need to do some homework. 	A
1938	Now, I haven't got any money, but I am really happy! 	A
1939	We have had a lot of fun. 	A
1940	I'm going to find more information about the new art class. 	A
1941	We have to bring a bottle of water, trainers and a T-shirt or top. 	A
1942	You must bring with you two pencils, one rubber and a piece of paper. 	A
1943	I have a piece of news. 	A
1944	I can drink a cup of tea in a café. 	A
1945	I think the countryside is better than the town centre, people get on more easily with each other. 	B
1946	Well, I love shopping for clothes because I love fashion. 	B
1947	I hope you can help me to find new accommodation as soon as is possible. 	B
1948	Firstly, you can admire lovely architecture and visit a museum about our history. 	B
1949	I'm sure that your parents are looking forward to going with you to the beach, because they work a lot of hours during the year so they can't spend much time with you. 	B
1950	I know you have sent me somebody to fix it but every time that it rains, at least a bit of water comes inside the house. 	B
1951	I hope this little bit of advice can help you! 	B
1952	I prefer to buy only what I need because I don't have enough money. 	B
1953	So I would like you to attend a meeting next week for further information. 	B
1954	My Finance department is very busy, I have loads of work to finish. 	B
1955	Television is more attractive because it has moving images. 	B
1956	Music was her life, not only a hobby. 	B
1957	Look at it this way, the more you work in school, the more you will achieve in your job. Education is important to prevent you from being a dog on a leash! 	B
1958	Language can be learned slowly and reflects the culture and tradition of the country. Language even plays an important role in the tourist industry. 	B
1959	I appreciate that your company is concerned about safety and has installed safety belts in every coach but they do not help much when they are all broken. 	C
1960	Above all, the administration is not very efficient. 	C
1961	He will go with another two members in his department who are likely to be the core workforce and who are eager to broaden their vision. 	C
1962	Through that we can develop more humanity, solidarity, tolerance and respect among people of different countries. 	C
1963	His name is Stanislav. 	A
1964	My friends are from Poland, Hungary, Libya, and Morocco. 	A
1965	I love my house. 	A
1966	When I have time, I visit my family. 	A
1967	I invite you and your family to come to my house for dinner. 	A
1968	I like everything in my house. 	A
1969	There is a big garden. 	A
1970	Hi Rie, It's Mohamad. 	A
1971	He is a student in B6 College. 	A
1972	But if not, then I will see you tomorrow morning. 	A
1973	I can go to see her tomorrow because I am going to a job interview today. 	A
1974	I will write to you again next week. 	A
1975	It was bought by my uncle. 	A
1976	It's made by Sony-Ericsson, I love it ? 	A
1977	? it was written by an excellent author, Lev Tolstoy. 	A
1978	It was built in 1880. 	A
1979	On Saturday morning I was invited to a sports competition. 	A
1980	"The group is called ""playmo"". "	A
1981	I bought a T-shirt, it cost £42 because it is made of cotton. 	A
1982	I also like wearing clothes which are manufactured by famous brands. 	B
1983	It's the highest mountain in U.A.E. Special roads were built for people to reach the top of the mountain, which was surrounded by houses. 	B
1984	It is going to be shown this Friday. 	B
1985	After that, they printed an authorisation, form which had to be signed by my parents because I'm not over eighteen. 	B
1986	He wants to be informed about sales development by the end of November 2001. 	B
1987	It was written in a strange language that I tried to translate. 	B
1988	Next day, I heard that my neighbour's car was stolen. 	B
1989	They filmed the flowers and trees, and some pupils were interviewed about their work in the garden, too. 	B
1990	Did you know that the next Harry Potter movie is being filmed in my school? 	B
1991	Why don't we stay at my house and visit Tokyo, where an interesting Japanese history exhibition is being held. 	B
1992	As a result of that, Russia's economy is being followed by many experts. 	B
1993	They filmed a class where the clothes are being tested at the moment and they interviewed some people. 	B
1994	Our office is situated near the airport. 	B
1995	The walls are painted in a dark blue, and the floor is wood. 	B
1996	The story is about a girl, who is not accepted in her class. 	B
1997	I think we should replace the printer, because it prints very slowly and the sheets aren't printed properly. 	B
1998	So I was given a ticket for a train, running from Berlin to Munich. 	B
1999	We were lucky, because we were given another chance. 	B
2000	My school was chosen by the TV company because it is one of the newest in town. 	B
2001	The seminar is being held at Chennai in the next week. 	B
2002	We are being visited by our Sales Director on Thursday morning. 	B
2003	According to your advertisement, some training is supposed to be given. 	B
2004	My composition was ready to be printed and I was searching for a piece of paper? 	B
2005	I would prefer to sleep in a tent because I have never done it and I think it is an experience not to be missed, a very original adventure! 	B
2006	The reason that I took part in your research was to help youngsters not to be addicted to computer games ?  	B
2007	For one, the future homes might not be built out of bricks at all! 	B
2008	I think that all these problems could have been avoided and that asking for my money back is the best way of forgetting that evening. 	B
2009	I don't remember how I lost it, it might have been stolen. 	B
2010	Of course, some groups were better than others but I think they all played well and have talent: they should have been given a chance! 	B
2011	It should not have been used in this kind of article. 	B
2012	However, to my disappointment, the restaurant was closed because it was being redecorated. 	B
2013	After they explained everything to him, he then knew he was being tricked by them and that this was supposed to be a special experience for him. 	B
2014	We thought that as you lived there, we could go to your house and stay there while the car was being repaired. 	B
2015	The car had been serviced and everything seemed to be all right. 	B
2016	At this moment, Lime walked in and realised he had been set up. 	B
2017	 In fact, it hadn't been stolen, it had been taken by a man and his wife, because their car broke down and because she was about to have her baby ? 	B
2018	We waited for ages because we had not been informed. 	B
2019	What is worse, the ticket price was not reduced despite the fact that I showed my student ID. 	B
2020	I had to go to the hospital because my back hurt so badly, and I wasn't allowed to work for two weeks. 	B
2021	I was really disappointed because a lot of things were not done. 	B
2022	Some say that studying animals would be impossible, if they weren't kept in zoos ? 	B
2023	This year's topic is the online training for employees, which is being relaunched . 	B
2024	The global temperature is rising, the ice is melting, the sea level increases and miles and miles of coast are being submerged. 	B
2025	The first thing to be linked through computers was academic knowledge, then came commercial businesses, naturally, and now, people are being linked through billions of personal computers. 	B
2026	? students are not being educated equally. 	B
2027	To conclude, in my opinion, it is important to keep as many languages as possible alive, so we can make sure that part of the human history is not being lost. 	B
2028	Firstly, the fact of different kinds of animals are in a zoo, doesn't means that they aren't being treated right. 	B
2029	I have been asked to write a report about an accident which happened to me last Saturday. 	B
2030	I am writing to you to give you further information about the conference organization and about the arrangements which have been made for your group of students. 	B
2031	?the old-fashioned house which has not been used for twenty years is not a very attractive sight from our town either. 	B
2032	This happened two years ago, and the necklace hasn't been found yet ? 	B
2033	Architects should be hired to design parks, where people could go for a walk or have a picnic. 	B
2034	Although I had a marvellous time, I believe there are a few things that could be improved for next year's festival. 	B
2035	As a result, today, it could be said that nearly everyone is living in a digital world which means computers are necessary and very important. 	B
2036	Your name was given to me by a member of yours, Allan Westwood, whom I met last week. 	B
2037	If more training is given to staff, they will be interested in their work  and staff turnover will be reduced. 	B
2038	Unfortunately an interview for a job in the New Palace Hotel has been offered to me at the same time as your class. 	B
2039	I was very happy to hear that you have been offered two jobs, one in a restaurant and one in a museum. 	B
2040	 She was offered a contract to record a single. 	B
2041	First of all, I felt happy and pleased that your firm has been given some extra money to spend on improvements to the cinema next year. 	B
2042	In conclusion, it can be seen that the bicycle is more suitable for those who are living in a little town or in the country. 	B
2043	Next, I find that our streets are not very clean, another major problem, and I think something must be done about it. 	B
2044	Just to let you know you will be booked into the Palace Hotel ? 	B
2045	Dear Mr Bixon, First of all, I am very grateful to hear that the cinema will be renovated next year. 	B
2046	Being born and raised in Mexico, I believe her to be this country's best representative to the world. 	C
2047	Being overworked and badly paid, Polish women are torn between their dreams and their real possibilities. 	C
2048	Being invited by your boss for an unexpected lunch makes you feel noticed. 	C
2049	In my opinion, the store is not being promoted enough. 	C
2050	Women are not being seen as just inferior to men and incapable of working outside the home. 	C
2051	Finally, I agree with the fact that mobile phones have helped the human species develop, but as long as they 're not being used in a sensible way, they're a destructive weapon against children's health. 	C
2052	To sum up, it can be concluded that this report has attempted to summarize the main points regarding the Spanish educational system. 	C
2053	In addition, it has been found that some products were difficult to find. 	C
2054	I myself, having been educated the hard way, would specifically insist on them getting the best possible school education. 	C
2055	Having been taught the rights and the wrongs, we had an idea about everything. 	C
2056	Not having been given precise orders from the top, as usual he decided to work on his own initiative. 	C
2057	They are expected to give the couple expensive presents as a reward for having been invited. 	C
2058	We caught the bus as if we were escaping from Saigon, and with the sensation of having been rewarded with one of the funniest holiday evenings of our lives. 	C
2059	Miss Kenton has just been employed as a housekeeper when she knocks on Stevens' pantry door and comes in without having been bidden to do so, bringing a vase of flowers. 	C
2060	 I bought it because mine got broken, so I need it to see myself in it. 	B
2061	You should be careful while you are crossing or you will get hurt. 	B
2062	Last week my husband's car got stolen from our garage. 	B
2063	As we have newly recruited staff, we want our staff to get trained effectively so that they can give their best to the Company. 	B
2064	We got paid well and I managed to save the most money for my studies. 	B
2065	Although to drive a car you must be very careful because you could get yourself killed if you don't drive carefully enough. 	B
2066	Although he has a charming personality he uses it to get himself involved in illegal activities. 	B
2067	After I left you on Monday, I had my car serviced and visited Washington with its wonderful memorials. 	B
2068	It's such a shame that I'm having my room redecorated but, in my view, the garden will be perfect. 	B
2069	My plans fell through because I had my purse stolen and I had no money to continue my journey. 	B
2070	The other reason against going to work by bike in a big city is that the risk of having your bike stolen is bigger. 	B
2071	I had just played in the best team of Sao Paulo but I had to stop because I had my leg broken in a car crash. 	B
2072	I would like to point at a few things about our small town, which I, as a citizen, have to explain to our friends, in order to get them to visit us more frequently. 	B
2073	It is a good way to get them to shop at this particular store. 	B
2074	I do understand that it must be difficult to get these people to go to the festival. 	B
2075	I must say that Caroline and I are good together because I think I am a little bit lazy but she is always the one who tries to get things done . 	C
2076	 ? ours broke down and it took hours to get it repaired . 	C
2077	But within the last two months we received several complaints from our customers about not getting their orders delivered in time. 	C
2078	First of all, I would like to underline the sheer boredom of these CDs, which got me yawning from the very first minute. 	C
2079	I was very happy when I received your letter, although I must say that your dilemma got me thinking. 	C
2080	As soon as they realized there was no way to get the employees moving, they got excited and nervous. 	C
2081	"But still both concerts were great as Elton John and ""Metallica"" really know how to get people moving, but in two completely different ways. "	C
2082	In order to attract people and have them practise their English, we could point out the benefits and the possibilities one obtains, by acquiring a degree in this language ... 	C
2083	In assessing the prospective student's linguistic skills it does not suffice to just have him fill out a multiple-choice-form 	C
2084	I was waiting for you all Saturday evening. 	A
2085	 I was swimming and sunbathing every day. 	A
2086	We were dancing all evening. 	A
2087	I was just watching a football match. 	A
2088	 I was always dreaming about it. 	A
2089	Yesterday we were studying maths in your house, and I left my book on your bed. 	A
2090	It was raining when I arrived. 	A
2091	I went to a soccer game, they were playing the last game to get the championship. 	A
2092	It was raining, but the concert was so good that I did not mind. 	A
2093	He was not planning to become a professional player. 	C
2094	She was not feeling very well. 	B
2095	I tried to phone her house, but her phone wasn't working. 	B
2096	I'm writing you this letter to tell you that we felt so bad when we heard you weren't working at the school any more. 	B
2097	Was my mother going to die? 	B
2098	I couldnt see anybody, then there he was, my hero, my favorite singer Bob Dylan saying my name, but was he calling me? 	B
2099	What were you doing? 	B
2100	 Everything was strange. Why was I following a green fox? 	B
2101	He was still waiting at the traffic light. 	B
2102	He was actually acting like a ghost. 	B
2103	Because she was sitting in the corner, she could see the whole view of the café in front of her. 	B
2104	Yesterday a TV company came to my school because they were doing a science quiz. 	B
2105	Worst of all, in September it was always raining. 	B
2106	He was always talking about this prize but I never thought he would win it. 	B
2107	My younger brother was constantly bothering me. 	B
2108	One day, as she was wistfully walking in the dusk of that day, she told herself she could either go on living her lonely life or make a huge effort to fit in. 	B
2109	I was wondering if I could impose on you again for my next visit. 	B
2110	I was thinking that you could wear your Marilyn Monroe dress as your fancy-dress costume. 	B
2111	I was thinking that you could come to my house and see the movie. 	B
2112	They had been told that I was always getting into mischief and so had decided that, by buying me this diary, I would probably calm down a little and my behaviour would change. 	C
2113	I was constantly trying to balance my school life, extra-curricular activities, studies and personal life and was always running out of time. 	C
2114	I had been working on the project for over a year. 	B
2115	We had been waiting for hours. 	B
2116	I didn't need so much, because I'd been saving money for a few months. 	B
2117	I had been waiting for this letter for months, so I opened it immediately. 	B
2118	Once I had been watching TV for 6 hours when my Mum suddenly switched it off. 	B
2119	I know it very well because we had been exchanging letters for a long time. 	B
2120	She had been going there since she was ten years old. 	B
2121	He began to think about his own thoughts while he was smoking a cigarette 	B
2122	And there were two men who had been chasing the murderer to find out who the man is and rescue the girl.... 	B
2123	The guide also tells some funny stories about an old lord, who had been living there in the 18th century. 	B
2124	After a few minutes the door was opened and the man who  had been following me came in. 	B
2125	"After we had been sunbathing at the beach all day long, we went every evening to a cosy restaurant called ""The Barking Cat"", where we had a good meal and some wine. "	B
2126	After I had been waiting for an hour, I decided to go through the gate and go in on foot. 	B
2127	Laura realised that she had not been studying very hard lately. 	B
2128	I couldn't tell her about Mark because she hadn't been doing anything else but talking about him for the last three weeks. 	B
2129	Last week, two of your employers came to solve the problems of my central heating system as it had not been working for two days. 	B
2130	I had been working hard at my job and I had really been looking forward to this holiday. 	B
2131	When he died, he was a rich man, he had only been living ten months in the house he had built for fourteen years ? 	B
2132	Unfortunately it had been snowing for a long time and so I was unable to go out for a walk. 	B
2133	We had been working very hard all the morning so by that time, I was very tired. 	B
2134	What had he been doing that morning? 	C
2135	So, why had she been waiting for so long a time? 	C
2136	If the weather had been better, we would have enjoyed it more. 	B
2137	If you had gone there with me, you would have been happy. 	B
2138	So I decided to go back and look for them in the park: believe it or not I would have spent all night in the park, if it hadn't been closed since six o'clock! 	B
2139	I felt really sorry for you after I had read your last letter. 	B
2140	 I'd forgotten that I have an appointment with the doctor  	B
2141	The ABC Company called this morning to say that our company had not delivered the goods on time. 	B
2142	I hadn't heard from her for two months. 	B
2143	It was the most beautiful one I had ever seen. 	B
2144	So, she came to America to see a relation she had never seen before, and she spent the money with me. 	B
2145	I had just arrived from school when I saw the letter. 	B
2146	I had always wanted to visit European cities and Paris was one of the easiest cities to get to from England. 	B
2147	He then thought how stupid he had been. 	B
2148	Actually I'd arranged an appointment with my doctor before calling you. 	B
2149	He was sleeping but I realised that this was because he had lost a lot of blood. 	B
2150	I was driving on to my parents' house because I had arranged to have dinner with them. 	B
2151	If only I had listened to my father! 	B
2152	If only I had met her before. 	B
2153	"I am sure, because at the end of the concert, I said to my friend ""I wish they had played a bit more"". "	B
2154	I wish I hadn't told Pat about my plans. 	B
2155	I wish I hadn't done that but now I can't do anything. 	B
2156	Never had I been in such a ridiculous situation! 	B
2157	Never before had we seen such marvellous species of fish. 	B
2158	...but no sooner had I gone to bed than someone broke the door down. 	B
2159	But, no sooner had I got there than my classmates informed me that I had done well in my physics exam. 	B
2160	But now she felt stronger and had lost her fear. 	B
2161	Simon was a very famous writer and had written ten best-sellers. 	B
2162	All her friends from Chicago had come to visit her and had brought a huge chocolate cake with them. 	B
2163	They were cold and had gone numb. 	B
2164	Had I made the same mistake twice? 	B
2165	? the question was: Why had he done that? 	B
2166	He had finally achieved his goal! 	B
2167	She had suddenly woken up at that noise, but now was trying to persuade herself it was just a dream. 	B
2168	And had all the furniture and David's personal things been stolen by thieves or had they just simply disappeared? 	B
2169	After a while Mr and Mrs Landsbury, the couple who had organised the party, got everybody's attention and  asked everybody to stay calm. 	B
2170	He went to the hotel because he wanted to find out who the person was that had sent him a mysterious letter? 	B
2171	 it was Annika who had arranged a huge party for her, and all her friends and family, at the airport. 	B
2172	After the show we had planned to go to the theatre restaurant. But it was closed. 	B
2173	We had planned to go to Switzerland, but unfortunately our car broke down. 	B
2174	At first she had wanted to make the first move but she wasn't quite convinced. 	B
2175	I asked him who had given him my phone number and he said it had been me. 	B
2176	He didn't find her, in spite of looking for her in every room of her house, so he decided to come to my house to ask me if I had seen her somewhere. 	B
2177	I asked her what had happened and she told me that my grandmother was very ill. 	B
2178	 one morning she was listening to the radio, when suddenly the announcer said that the police had arrested a man who had stolen five expensive and unique paintings. 	B
2179	She tried to explain what had happened, but she couldn't. 	B
2180	I looked at the address and I knew what had happened to my sister's postcard. 	B
2181	Had I known the tour would be so bad, I wouldn't have booked it. 	C
2182	Had they been new people, travellers from other countries, I could have taken it, but all the customers were English! 	C
2183	Sometimes I think that had I gone to Britain without this experience, my life would have been different. 	C
2184	If only she had not changed, if only I had helped her, maybe we would still be best friends and I would not be sitting here, writing about her! 	C
2185	If only I hadn't been that rude! 	C
2186	Had it not been for the fact that I had already read the article, I would have thought that this woman was at least thirty years old. 	C
2187	Another aspect of his emotional side is the fact that he is a very private person, and had it not been for this feature, he might have been able to react differently. 	C
2188	If it hadn't been for my lack of knowledge, skills, experience, and some other things like that, I wouldn't have been fired. 	C
2189	They had become very good friends and their friendship could have gone a little further if it hadn't been for Dan's character. 	C
2190	Hardly had she spoken these words when it dawned on the musician that life could not continue like that. 	C
2191	Hardly had he taken them from the counter when the monster vanished again. 	C
2192	Every day at college I went to class at 9 am. 	A
2193	I met her about ten years ago. 	A
2194	My grandmother lived in a village and I often went there. 	A
2195	The people were very polite. 	A
2196	Every time I went to Hendon Park, I saw so many people there. 	A
2197	I liked this place very much. 	A
2198	I forgot to tell you some details about tomorrow evening. 	A
2199	I spent about £35 on all those clothes. 	A
2200	 I liked it very much because my favourite team won, it was great. 	A
2201	The player from China did not look very happy though. 	A
2202	You did not keep your promise. 	A
2203	I didn't tell you that my house is opposite the new cinema. 	A
2204	They didn't cost much ... 	A
2205	I was surprised because the heating didn't work. 	A
